total_cases,new_cases,total_deaths,new_deaths,new_tests,year
1798.0,226.0,8.0,0.0,3440.0,2020
2099.0,301.0,8.0,0.0,4924.0,2020
2300.0,201.0,9.0,1.0,3867.0,2020
2634.0,334.0,10.0,1.0,4232.0,2020
2912.0,278.0,11.0,1.0,4111.0,2020
2912.0,0.0,11.0,0.0,3728.0,2020
3448.0,536.0,13.0,2.0,4766.0,2020
3762.0,314.0,14.0,1.0,5359.0,2020
4085.0,323.0,15.0,1.0,4414.0,2020
4364.0,279.0,15.0,0.0,5193.0,2020
4614.0,250.0,15.0,0.0,5925.0,2020
5062.0,448.0,16.0,1.0,5426.0,2020
5335.0,273.0,18.0,2.0,6089.0,2020
5760.0,425.0,19.0,1.0,5306.0,2020
6211.0,451.0,19.0,0.0,5055.0,2020
6591.0,380.0,19.0,0.0,6034.0,2020
7177.0,586.0,20.0,1.0,5746.0,2020
7848.0,671.0,22.0,2.0,6231.0,2020
8274.0,426.0,22.0,0.0,7416.0,2020
8605.0,331.0,22.0,0.0,6008.0,2020
9026.0,421.0,23.0,1.0,6198.0,2020
9026.0,0.0,23.0,0.0,4995.0,2020
9026.0,0.0,23.0,0.0,6828.0,2020
10728.0,1702.0,23.0,0.0,6543.0,2020
11162.0,434.0,26.0,3.0,6534.0,2020
11755.0,593.0,27.0,1.0,4606.0,2020
11755.0,0.0,27.0,0.0,4962.0,2020
12772.0,1017.0,28.0,1.0,7791.0,2020
13248.0,476.0,29.0,1.0,4711.0,2020
13564.0,316.0,29.0,0.0,4886.0,2020
14046.0,482.0,30.0,1.0,4537.0,2020
14519.0,473.0,31.0,1.0,4483.0,2020
15259.0,740.0,32.0,1.0,4050.0,2020
15491.0,232.0,34.0,2.0,4710.0,2020
15784.0,293.0,34.0,0.0,4721.0,2020
15964.0,180.0,35.0,1.0,6133.0,2020
15964.0,0.0,35.0,0.0,4696.0,2020
16423.0,459.0,35.0,0.0,4588.0,2020
16531.0,108.0,35.0,0.0,4806.0,2020
16649.0,118.0,35.0,0.0,3648.0,2020
